Org Name,Budget,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade
Falmouth,,960000,Public School District,Superintendent,Bonny Gifford,340 Teaticket Hwy,,East Falmouth,MA,2536,508-548-0151,508-457-9032,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Farmington River Reg,,6620000,Public School District,Superintendent,Joanne Austin,555 N Main Street,PO Box 679,Otis,MA,1253,413-269-4466,413-269-7659,"PK,K,01,02,03,04,05,06"
Fitchburg,,970000,Public School District,Superintendent,Andre Ravenelle,376 South Street,,Fitchburg,MA,1420,978-345-3200,978-348-2305,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Florida,,980000,Public School District,Superintendent,Jon Lev,56 North County Rd,,Florida,MA,1247,413-664-6023,413-663-3593,"PK,K,01,02,03,04,05,06,07,08"
Four Rivers Charter Public (District),,4130000,Charter District,Charter School Leader,Peter Garbus,248 Colrain Road,,Greenfield,MA,1301,413-775-4577,413-775-4578,"07,08,09,10,11,12"
Foxborough,,990000,Public School District,Superintendent,Debra Spinelli,60 South Street,C/O Igo Administration Building,Foxborough,MA,2035,508-543-1660,508-543-4793,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Foxborough Regional Charter (District),,4460000,Charter District,Charter School Leader,Mark Logan,131 Central Street,,Foxborough,MA,2035,508-543-2508,508-543-7982,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Framingham,yes,1000000,Public School District,Superintendent,Stacy Scott,454 Water Street,Office of the Superintendent,Framingham,MA,1701,508-626-9117,508-877-4240,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Francis W. Parker Charter Essential (District),,4780000,Charter District,Charter School Leader,Todd Sumner,49 Antietam Street,,Devens,MA,1434,978-772-3293,978-772-3295,"07,08,09,10,11,12"
Franklin,,1010000,Public School District,Superintendent,Maureen Sabolinski,355 East Central Street,,Franklin,MA,2038,508-541-5243,508-553-0321,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Franklin County Regional Vocational Technical,,8180000,Public School District,Superintendent,James Laverty,82 Industrial Blvd,,Turners Falls,MA,1376,413-863-4239,413-863-2816,"09,10,11,12"
Freetown (non-op),,1020000,Public School District,Superintendent,John McCarthy,98 Howland Rd,,Lakeville,MA,2347,508-923-2000,508-923-0934,NA
Freetown-Lakeville,,6650000,Public School District,Superintendent,Kristine Nash,98 Howland Rd,,Lakeville,MA,2347,508-923-2000,508-923-0934,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Frontier,,6700000,Public School District,Superintendent,Martha Barrett,219 Christian Ln RFD1,,South Deerfield,MA,1373,413-665-1155,413-665-8506,"07,08,09,10,11,12"
Gardner,,1030000,Public School District,Superintendent,Carol Daring,70 Waterford Street,,Gardner,MA,1440,978-632-1000,978-632-1164,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Gateway,,6720000,Public School District,Superintendent,David Hopson,12 Littleville Road,,Huntington,MA,1050,413-685-1000,413-667-8739,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Georgetown,,1050000,Public School District,Superintendent,Carol Jacobs,51 North Street,,Georgetown,MA,1833,978-352-5777,978-352-5778,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Gill (non-op),,1060000,Public School District,Superintendent,Michael Sullivan,35 Crocker Avenue,,Turners Falls,MA,1376,413-863-9324,413-863-4560,NA
Gill-Montague,,6740000,Public School District,Superintendent,Michael Sullivan,35 Crocker Avenue,,Turners Falls,MA,1376,413-863-9324,413-863-4560,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Global Learning Charter Public (District),,4960000,Charter District,Charter School Leader,Stephen Furtado,190 Ashley Boulevard,,New Bedford,MA,2746,508-991-4105,508-991-4110,"05,06,07,08,09,10,11,12"
Gloucester,,1070000,Public School District,Superintendent,Richard Safier,6 School House Rd,,Gloucester,MA,1930,978-281-9800,978-281-9899,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Goshen (non-op),,1080000,Public School District,Superintendent,Craig Jurgensen,19 Stage Rd,,Westhampton,MA,1027,413-527-7200,413-529-9497,NA
Gosnold,,1090000,Public School District,Superintendent,Russell Latham,16 Williams Street,,Rehoboth,MA,2769,508-252-4272,508-252-4272,"03,04"
Grafton,,1100000,Public School District,Superintendent,James Cummings,30 Providence Rd,,Grafton,MA,1519,508-839-5421,508-839-7618,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Granby,,1110000,Public School District,Superintendent,Isabelina Rodriguez,387 East State Street,,Granby,MA,1033,413-467-7193,413-467-3909,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Granville (Non-op),,1120000,Public School District,Superintendent,John Barry,86 Powder Mill Road,,Southwick,MA,1077,413-569-5391,413-569-1711,NA
Great Barrington (non-op),,1130000,Public School District,Superintendent,Peter Dillon,207 Pleasant Street,PO Box 596,Housatonic,MA,1236,413-274-6400,--,NA
Greater Fall River Regional Vocational Technical,,8210000,Public School District,Superintendent,Marta Montleon,251 Stonehaven Rd,,Fall River,MA,2723,508-678-2891,508-679-6423,"09,10,11,12"
Greater Lawrence Regional Vocational Technical,,8230000,Public School District,Superintendent,John Lavoie,57 River Rd,,Andover,MA,1810,978-686-0194,978-687-6209,"09,10,11,12"
Greater Lowell Regional Vocational Technical,,8280000,Public School District,Superintendent,Roger Bourgeois,250 Pawtucket Blvd,,Tyngsborough,MA,1879,978-441-4800,978-441-5353,"09,10,11,12"
Greater New Bedford Regional Vocational Technical,,8250000,Public School District,Superintendent,Linda Enos,1121 Ashley Blvd,,New Bedford,MA,2745,508-998-3321,508-995-7268,"09,10,11,12"
Greenfield,,1140000,Public School District,Superintendent,Susan Hollins,141 Davis Street,,Greenfield,MA,1301,413-772-1311,413-774-7940,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Groton (non-op),,1150000,Public School District,Superintendent,Anthony Bent,P O Box 729,,Groton,MA,1450,978-448-5505,978-448-9402,NA
Groton-Dunstable,,6730000,Public School District,Superintendent,Anthony Bent,P O Box 729,,Groton,MA,1450,978-448-5505,978-448-9402,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Groveland (non-op),,1160000,Public School District,Superintendent,Jeffrey Mulqueen,22 Main Street,,West Newbury,MA,1985,617-363-2280,--,NA
Hadley,,1170000,Public School District,Superintendent,Donna Moyer,125 Russell Street,,Hadley,MA,1035,413-586-0822,413-582-6453,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Halifax,,1180000,Public School District,Superintendent,John Tuffy,250 Pembroke Street,,Kingston,MA,2364,781-585-4313,781-585-2994,"K,01,02,03,04,05,06"
Hamilton (non-op),,1190000,Public School District,Superintendent,Michael Harvey,5 School Street,,Wenham,MA,1984,978-468-5310,978-468-7889,NA
Hamilton-Wenham,,6750000,Public School District,Superintendent,Michael Harvey,5 School Street,,Wenham,MA,1984,978-468-5310,978-468-7889,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hampden (non-op),,1200000,Public School District,Superintendent,Maurice O'Shea,621 Main Street,,Wilbraham,MA,1095,413-596-3884,413-599-1328,NA
Hampden Charter School of Science (District),,4990000,Charter District,Charter School Leader,Harun Celik,20 Johnson Road,,Chicopee,MA,1022,413-593-9090,413-294-2648,"06,07,08,09,10,11,12"
Hampden-Wilbraham,,6800000,Public School District,Superintendent,Maurice O'Shea,621 Main Street,,Wilbraham,MA,1095,413-596-3884,413-599-1328,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hampshire,,6830000,Public School District,Superintendent,Craig Jurgensen,19 Stage Rd,,Westhampton,MA,1027,413-527-7200,413-529-9497,"07,08,09,10,11,12"
Hancock,,1210000,Public School District,Superintendent,Barbara Ripa,1831 STATE ROAD,,RICHMOND,MA,1254,413-698-4001,413-698-4003,"PK,K,01,02,03,04,05,06"
Hanover,,1220000,Public School District,Superintendent,Matthew Ferron,188 Broadway Street,,Hanover,MA,2339,781-878-0786,781-871-3374,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hanson (non-op),,1230000,Public School District,Superintendent,Ruth Gilbert-Whitner,610 Franklin Street,,Whitman,MA,2382,781-618-7412,781-618-7498,NA
Hardwick (non-op),,1240000,Public School District,Superintendent,Maureen Marshall,PO Box 667,,Barre,MA,1005,978-355-4668,--,NA
Harvard,,1250000,Public School District,Superintendent,Joseph Connelly,39 Massachusetts Avenue,,Harvard,MA,1451,978-456-4140,978-456-8592,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Harwich (Non-op),,1260000,Public School District,Superintendent,Scott Carpenter,425 Crowell Rd,,Chatham,MA,2633,508-945-5130,508-945-5133,NA
Hatfield,,1270000,Public School District,Superintendent,John Robert,34 School Street,,Hatfield,MA,1038,413-247-5641,413-247-0201,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Haverhill,,1280000,Public School District,Superintendent,James Scully,4 Summer Street,,Haverhill,MA,1830,978-374-3405,978-373-1535,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hawlemont,,6850000,Public School District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,1370,413-625-0192,413-625-0196,"PK,K,01,02,03,04,05,06"
Hawley (non-op),,1290000,Public School District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,1370,413-625-0192,413-625-0196,NA
Heath (non-op),,1300000,Public School District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,1370,413-625-0192,413-625-0196,NA
Hill View Montessori Charter Public (District),,4550000,Charter District,Charter School Leader,Jeanne Schultz,75 Foundation Ave,Ward Hill Business Park,Haverhill,MA,1835,978-521-2616,978-521-2656,"K,01,02,03,04,05,06,07,08"
Hilltown Cooperative Charter Public (District),,4500000,Charter District,Charter School Leader,Amy Aaron,132 Main Street,Box 147,Haydenville,MA,1039,413-268-3421,413-268-3185,"K,01,02,03,04,05,06,07,08"
Hingham,,1310000,Public School District,Superintendent,Dorothy Galo,220 Central Street,,Hingham,MA,2043,781-741-1500,781-749-7457,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hinsdale (non-op),,1320000,Public School District,Superintendent,William Cameron,PO Box 299,,Dalton,MA,1227,413-684-0320,413-684-4088,NA
Holbrook,,1330000,Public School District,Superintendent,Patricia Lally,245 So. Franklin Street,,Holbrook,MA,2343,781-767-1226,781-767-1312,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Holden (non-op),,1340000,Public School District,Superintendent,Thomas Pandiscio,Jefferson School,1745 Main Street,Jefferson,MA,1522,508-829-1670,508-829-1680,NA
Holland,,1350000,Public School District,Superintendent,Erin Nosek,320 Brookfield Rd,,Fiskdale,MA,1518,508-347-3077,508-347-2697,"PK,K,01,02,03,04,05,06"
Holliston,,1360000,Public School District,Superintendent,Bradford Jackson,370 Hollis Street,,Holliston,MA,1746,508-429-0654,508-429-0653,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Holyoke,,1370000,Public School District,Superintendent,Sergio Paez,57 Suffolk Street,,Holyoke,MA,1040,413-534-2005,413-534-2297,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Holyoke Community Charter (District),,4530000,Charter District,Charter School Leader,Sonia Pope,2200 Northampton Street,,Holyoke,MA,1040,413-533-0111,413-536-5444,"K,01,02,03,04,05,06,07,08"
Hopedale,,1380000,Public School District,Superintendent,Dennis Breen,25 Adin Street,,Hopedale,MA,1747,508-634-2220,508-478-1471,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hopkinton,,1390000,Public School District,Superintendent,Cathy MacLeod,89 Hayden Rowe Street,,Hopkinton,MA,1748,508-417-9360,508-497-9833,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hubbardston (non-op),,1400000,Public School District,Superintendent,Maureen Marshall,8 Elm Street,,Hubbardston,MA,1452,978-928-4487,--,NA
Hudson,,1410000,Public School District,Superintendent,Kevin Lyons,155 Apsley Street,,Hudson,MA,1749,978-567-6100,978-567-6123,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Hull,,1420000,Public School District,Superintendent,Kathleen Tyrell,180 Harborview Road,,Hull,MA,2045,781-925-4400,781-925-8042,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Huntington (non-op),,1430000,Public School District,Superintendent,David Hopson,12 Littleville Road,,Huntington,MA,1050,413-685-1011,413-667-8739,NA
Innovation Academy Charter (District),,4350000,Charter District,Charter School Leader,Gregory Orpen,72 Tyng Road,,Tyngsborough,MA,1879,978-649-0432,978-649-6337,"05,06,07,08,09,10,11,12"
Institutional Schools,,3700000,Public School District,Superintendent,Mary Lou Chapman,75 Pleasant Street,,Malden,MA,2148,781-338-3305,781-338-3371,"01,02,03,04,05,06,07,08,09,10,11,12"
Ipswich,,1440000,Public School District,Superintendent,William Hart,1 Lord Square,,Ipswich,MA,1938,978-356-2935,978-356-0445,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
King Philip,,6900000,Public School District,Superintendent,Elizabeth Zielinski,18 King Street,,Norfolk,MA,2056,508-520-7991,508-520-2044,"07,08,09,10,11,12"
Kingston,,1450000,Public School District,Superintendent,John Tuffy,250 Pembroke Street,,Kingston,MA,2364,781-585-4313,781-585-2994,"K,01,02,03,04,05,06"
KIPP Academy Boston Charter School (District),,4630000,Charter District,Charter School Leader,Caleb Dolan,90 High Rock St,,Lynn,MA,1902,617-238-7300,617-652-7461,"05,06"
KIPP Academy Lynn Charter (District),,4290000,Charter District,Charter School Leader,Caleb Dolan,90 High Rock Street,,Lynn,MA,1902,781-598-1609,781-598-1639,"05,06,07,08,09,10,11"
Lakeville (non-op),,1460000,Public School District,Superintendent,John McCarthy,98 Howland Rd,,Lakeville,MA,2347,508-923-2000,508-923-0934,NA
Lancaster (non-op),,1470000,Public School District,Superintendent,Michael Wood,50 Mechanic Street,,Bolton,MA,1740,978-779-0539,978-779-6812,NA
Lanesborough,,1480000,Public School District,Superintendent,Rose Ellis,1781 Cold Spring Road,,Williamstown,MA,1267,413-458-9582,413-458-2856,"K,01,02,03,04,05,06"
Lawrence,,1490000,Public School District,Superintendent,Jeffrey Riley,255 Essex Street,,Lawrence,MA,1840,978-975-5900,978-722-8541,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Lawrence Family Development Charter (District),,4540000,Charter District,Charter School Leader,Ralph Carrero,34 West Street,,Lawrence,MA,1841,978-689-9863,978-689-8133,"K,01,02,03,04,05,06,07,08"
Lee,,1500000,Public School District,Superintendent,Alfred Skrocki,480 Pleasant Street,Suite B-200,Lee,MA,1238,413-243-0276,413-243-4995,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Leicester,,1510000,Public School District,Superintendent,Bonnie Thibeault,1078 Main Street,,Leicester,MA,1524,508-892-7040,508-892-7043,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Lenox,,1520000,Public School District,Superintendent,Edward Costa,6 Walker Street,,Lenox,MA,1240,413-637-5550,413-637-5559,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Leominster,,1530000,Public School District,Superintendent,James Jolicoeur,24 Church Street,,Leominster,MA,1453,978-534-7700,978-534-7775,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Leverett,,1540000,Public School District,Superintendent,Robert Mahler,18 Pleasant Street,,Erving,MA,1344,413-423-3337,413-423-3236,"PK,K,01,02,03,04,05,06"
Lexington,yes,1550000,Public School District,Superintendent,Paul Ash,146 Maple Street,,Lexington,MA,2420,781-861-2550,781-863-5829,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Leyden (non-op),,1560000,Public School District,Superintendent,Dayle Doiron,97 F Sumner Turner Rd,,Northfield,MA,1360,413-498-2911,413-498-0045,NA
Lincoln,,1570000,Public School District,Superintendent,Rebecca McFall,1 Ballfield Road,,Lincoln,MA,1773,781-259-9409,781-259-9246,"PK,K,01,02,03,04,05,06,07,08"
Lincoln-Sudbury,,6950000,Public School District,Superintendent,Bella Wong,390 Lincoln Rd,,Sudbury,MA,1776,978-443-9961,978-443-8824,"09,10,11,12"
Littleton,,1580000,Public School District,Superintendent,Kelly Clenchy,PO Box 1486,,Littleton,MA,1460,978-540-2500,978-486-9581,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Longmeadow,,1590000,Public School District,Superintendent,Marie Doyle,535 Bliss Road,,Longmeadow,MA,1106,413-565-4200,413-565-4215,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Lowell,,1600000,Public School District,Superintendent,Jean Franco,43 Highland Street,,Lowell,MA,1852,978-674-4320,978-937-7609,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Lowell Collegiate Charter School,,35030000,Charter District,Charter School Leader,Joseph Mccleary,25 Father John Sarantos Way,,Lowell,MA,1854,978-458-1399,--,"K,01,02,03"
Lowell Community Charter Public (District),,4560000,Charter District,Charter School Leader,Kathy Egmont,206 Jackson Street,,Lowell,MA,1852,978-323-0800,978-323-4600,"K,01,02,03,04,05,06"
Lowell Middlesex Academy Charter (District),,4580000,Charter District,Charter School Leader,Margaret McDevitt,67 Middle St,,Lowell,MA,1852,978-656-3165,978-459-0456,"09,10,11,12"
Ludlow,,1610000,Public School District,Superintendent,Todd Gazda,63 Chestnut Street,,Ludlow,MA,1056,413-583-8372,413-583-5666,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Lunenburg,,1620000,Public School District,Superintendent,Loxi Jo Calmes,1025 Mass Avenue,,Lunenburg,MA,1462,978-582-4100,978-582-4103,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Lynn,yes,1630000,Public School District,Superintendent,Catherine Latham,100 Bennett St,,Lynn,MA,1905,781-593-1680,781-477-7487,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Lynnfield,,1640000,Public School District,Superintendent,Thomas Jefferson,55 Summer Street,,Lynnfield,MA,1940,781-334-9200,781-334-9209,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Ma Academy for Math and Science,,4680000,Public School District,Superintendent,Michael Barney,85 Prescott Street,,Worcester,MA,1605,508-831-5859,508-831-5880,"11,12"
Malden,,1650000,Public School District,Superintendent,David De Ruosi,200 Pleasant Street,,Malden,MA,2148,781-397-7204,781-397-7276,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Manchester (non-op),,1660000,Public School District,Superintendent,Marcia O'Neil,36 Lincoln Street,,Manchester,MA,1944,978-526-4919,978-526-7585,NA
Manchester Essex Regional,,6980000,Public School District,Superintendent,Pamela Beaudoin,PO BOX 1407,,Manchester,MA,1944,978-526-4919,978-526-7585,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Mansfield,,1670000,Public School District,Superintendent,Brenda Hodges,2 Park Row,,Mansfield,MA,2048,508-261-7500,508-261-7509,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Marblehead,,1680000,Public School District,Superintendent,Maryann Perry,9 Widger Road,,Marblehead,MA,1945,781-639-3141,781-639-3149,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Marblehead Community Charter Public (District),,4640000,Charter District,Charter School Leader,Helena Cullen-Hamzeh,17 Lime Street,,Marblehead,MA,1945,781-631-0777,781-631-0500,"04,05,06,07,08"
Marion,,1690000,Public School District,Superintendent,Douglas White,135 Marion Rd,,Mattapoisett,MA,2739,508-758-2772,508-758-2802,"PK,K,01,02,03,04,05,06"
Marlborough,,1700000,Public School District,Superintendent,Richard Langlois,17 Washington Street,,Marlborough,MA,1752,508-460-3509,508-485-1142,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Marshfield,,1710000,Public School District,Superintendent,Scott Borstel,76 South River Street,,Marshfield,MA,2050,781-834-5000,781-834-5070,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Martha's Vineyard Charter (District),,4660000,Charter District,Charter School Leader,Robert Moore,PO Box 1150,,West Tisbury,MA,2575,508-693-9900,508-696-9008,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Marthas Vineyard,,7000000,Public School District,Superintendent,James Weiss,4 Pine Street,,Vineyard Haven,MA,2568,508-693-2007,508-693-3190,"09,10,11,12"
Martin Luther King Jr. Charter School of Excellence (District),,4920000,Charter District,Charter School Leader,Alan Katz,285 Dorset Street,,Springfield,MA,1108,413-214-7806,413-214-7838,"K,01,02,03,04,05"
Masconomet,,7050000,Public School District,Superintendent,Darrell Lockwood,20 Endicott Rd,,Topsfield,MA,1983,978-887-2323,978-887-3573,"07,08,09,10,11,12"
Mashpee,,1720000,Public School District,Superintendent,Brian Hyde,150-A Old Barnstable Road,,Mashpee,MA,2649,508-539-1500,508-477-5805,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,,39010000,Public School District,Superintendent,Carl Tillona,141 Davis Street,,Greenfield,MA,1301,413-772-1311,413-772-1379,"K,01,02,03,04,05,06,07,08,09,10,11,12"
MATCH Charter Public School (District),,4690000,Charter District,Charter School Leader,Michael Larsson,1001 Commonwealth Avenue,,Boston,MA,2215,617-232-0300,617-232-2838,"06,07,08,09,10,11,12"
MATCH Community Day Charter Public School (District),,4650000,Charter District,Charter School Leader,Michael Larsson,86 Wachusett Street,,Jamaica Plain,MA,2130,617-983-0300,617-983-0332,"PK,K,01,02,03,04"
Mattapoisett,,1730000,Public School District,Superintendent,Douglas White,135 Marion Rd,,Mattapoisett,MA,2739,508-758-2772,508-758-2802,"PK,K,01,02,03,04,05,06"
Maynard,,1740000,Public School District,Superintendent,Robert Gerardi,12 Bancroft Street,,Maynard,MA,1754,978-897-2222,978-897-4610,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Medfield,,1750000,Public School District,Superintendent,Jeffrey Marsden,459 Main St,3rd Fl,Medfield,MA,2052,508-359-2302,508-359-9829,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Medford,,1760000,Public School District,Superintendent,Roy Belson,489 Winthrop Street,,Medford,MA,2155,781-393-2442,781-393-2322,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Medway,,1770000,Public School District,Superintendent,Judith Evans,45 Holliston Street,,Medway,MA,2053,508-533-3222,508-533-3226,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Melrose,yes,1780000,Public School District,Superintendent,Cyndy Taymore,360 Lynn Fells Pkwy,,Melrose,MA,2176,781-662-2000,781-979-2285,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Mendon (non-op),,1790000,Public School District,Superintendent,Joseph Maruszczak,"150 North Ave, POB 5",,Mendon,MA,1756,508-634-1585,508-634-1582,NA
Mendon-Upton,,7100000,Public School District,Superintendent,Joseph Maruszczak,150 North Ave,,Mendon,MA,1756,508-634-1585,508-634-1582,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Merrimac (non-op),,1800000,Public School District,Superintendent,Jeffrey Mulqueen,22 Main Street,,West Newbury,MA,1985,978-363-2280,978-363-1165,NA
Methuen,,1810000,Public School District,Superintendent,Judith Scannell,90 Hampshire St,,Methuen,MA,1844,978-722-6001,978-722-6002,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Middleborough,,1820000,Public School District,Superintendent,Roseli Weiss,30 Forest Street,,Middleborough,MA,2346,508-946-2000,508-946-2004,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Middlefield (non-op),,1830000,Public School District,Superintendent,David Hopson,12 Littleville Road,,Huntington,MA,1050,413-685-1011,413-667-8739,NA
Middleton,,1840000,Public School District,Superintendent,Bernard Creeden,28 Middleton Road,,Boxford,MA,1921,978-887-0771,978-887-8042,"PK,K,01,02,03,04,05,06"
Milford,,1850000,Public School District,Superintendent,Robert Tremblay,31 West Fountain Street,,Milford,MA,1757,508-478-1101,508-478-1459,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Millbury,,1860000,Public School District,Superintendent,Susan Hitchcock,12 Martin Street,,Millbury,MA,1527,508-865-9501,508-865-0888,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Millis,,1870000,Public School District,Superintendent,Nancy Gustafson,245 Plain Street,Central Office,Millis,MA,2054,508-376-7000,508-376-7020,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Millville (non-op),,1880000,Public School District,Superintendent,Perry Davis,175 Lincoln Street,,Blackstone,MA,1504,508-883-4400,508-883-9892,NA
Milton,,1890000,Public School District,Superintendent,Mary Gormley,25 Gile Road,,Milton,MA,2186,617-696-4808,617-696-5099,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Minuteman Regional Vocational Technical,,8300000,Public School District,Superintendent,Edward Bouquillon,758 Marrett Rd,,Lexington,MA,2421,781-861-6500,781-863-1747,"09,10,11,12"
Mohawk Trail,,7170000,Public School District,Superintendent,Michael Buoniconti,24 Ashfield Rd,,Shelburne Falls,MA,1370,413-625-0192,413-625-0196,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Monomoy Regional School District,,7120000,Public School District,Superintendent,Scott Carpenter,425 Crowell Rd,,Chatham,MA,2633,508-945-5130,508-945-5133,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Monroe (non-op),,1900000,Public School District,Superintendent,Jon Lev,98 Church Street,,North Adams,MA,1247,413-664-9292,413-664-9942,NA
Monson,,1910000,Public School District,Superintendent,Cheryl Clarke,P O Box 159,,Monson,MA,1057,413-267-4150,413-267-9168,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Montachusett Regional Vocational Technical,,8320000,Public School District,Superintendent,Steven Sharek,1050 Westminster Street,,Fitchburg,MA,1420,978-345-9200,978-345-9165,"09,10,11,12"
Montague (non-op),,1920000,Public School District,Superintendent,Michael Sullivan,35 Crocker Avenue,,Turners Falls,MA,1376,413-863-9324,413-863-4560,NA
Monterey (non-op),,1930000,Public School District,Superintendent,David Hastings,PO Box 339,,Sheffield,MA,1257,413-229-8778,413-229-2913,NA
Montgomery (non-op),,1940000,Public School District,Superintendent,David Hopson,12 Littleville Road,,Huntington,MA,1050,413-685-1011,413-667-8739,NA
Mount Greylock,,7150000,Public School District,Superintendent,Rose Ellis,1781 Cold Spring Rd,,Williamstown,MA,1267,413-458-9582,413-458-2856,"07,08,09,10,11,12"
Mount Washington (non-op),,1950000,Public School District,Superintendent,Leslieann Furcht,118 East Street,,Mt Washington,MA,1258,413-528-2839,--,NA
Mystic Valley Regional Charter (District),,4700000,Charter District,Charter School Leader,Martin Trice,770 Salem Street,,Malden,MA,2148,781-388-0222,781-321-5688,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Nahant,yes,1960000,Public School District,Superintendent,Philip Devaux,290 Castle Road,,Nahant,MA,1908,781-581-1600,781-581-0440,"PK,K,01,02,03,04,05,06"
Nantucket,,1970000,Public School District,Superintendent,William Cozort,10 Surfside Road,,Nantucket,MA,2554,508-228-7285,508-325-5318,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Narragansett,,7200000,Public School District,Superintendent,Ruth Miller,462 Baldwinville Road,,Baldwinville,MA,1436,978-939-5661,978-939-5179,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Nashoba,,7250000,Public School District,Superintendent,Michael Wood,50 Mechanic Street,,Bolton,MA,1740,978-779-0539,978-779-5537,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Nashoba Valley Regional Vocational Technical,,8520000,Public School District,Superintendent,Judith Klimkiewicz,100 Littleton Road,,Westford,MA,1886,978-692-4711,978-392-0570,"09,10,11,12"
Natick,,1980000,Public School District,Superintendent,Peter Sanchioni,13 East Central Street,,Natick,MA,1760,508-647-6500,508-647-6506,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
